concept,name,indicator_code,indicator_unit,concept_type
chepctgdp_sha2011_million_ncu,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),CHE%GDP_SHA2011,Ones,measure
sha11_hf_million_ncu,Current health expenditure by financing schemes,sha11.HF,Millions,measure
sha11_hf_nec_million_ncu,Unspecified financing schemes (n.e.c.),sha11.HF.nec,Millions,measure
sha11_hf_4_million_ncu,Rest of the world financing schemes (non-resident),sha11.HF.4,Millions,measure
sha11_hf_3_million_ncu,Household out-of-pocket payment,sha11.HF.3,Millions,measure
sha11_hf_2_3_million_ncu,Enterprise financing schemes,sha11.HF.2.3,Millions,measure
sha11_hf_2_2_million_ncu,NPISH financing schemes (including development agencies),sha11.HF.2.2,Millions,measure
sha11_hf_2_1_million_ncu,Voluntary health insurance schemes,sha11.HF.2.1,Millions,measure
sha11_hf_2_million_ncu,Voluntary health care payment schemes,sha11.HF.2,Millions,measure
sha11_hf_1_3_million_ncu,Compulsory Medical Saving Accounts (CMSA),sha11.HF.1.3,Millions,measure
sha11_hf_1_2_2_million_ncu,Compulsory private insurance schemes,sha11.HF.1.2.2,Millions,measure
sha11_hf_1_2_1_million_ncu,Social health insurance schemes,sha11.HF.1.2.1,Millions,measure
sha11_hf_1_2_million_ncu,Compulsory contributory health insurance schemes,sha11.HF.1.2,Millions,measure
sha11_hf_1_1_million_ncu,Government schemes,sha11.HF.1.1,Millions,measure
sha11_hf_1_million_ncu,Government schemes and compulsory contributory health care financing schemes,sha11.HF.1,Millions,measure
sha11_fs_million_ncu,Current health expenditure by revenues of health care financing schemes,sha11.FS,Millions,measure
sha11_hk_million_ncu,Capital health expenditure,sha11.HK,Millions,measure
sha11_fs_1_million_ncu,Transfers from government domestic revenue (allocated to health purposes),sha11.FS.1,Millions,measure
sha11_fs_1_1_million_ncu,Internal transfers and grants,sha11.FS.1.1,Millions,measure
sha11_fs_1_2_million_ncu,Transfers by government on behalf of specific groups,sha11.FS.1.2,Millions,measure
sha11_fs_1_3_million_ncu,Subsidies,sha11.FS.1.3,Millions,measure
sha11_fs_1_4_million_ncu,Other transfers from government domestic revenue,sha11.FS.1.4,Millions,measure
sha11_fs_2_million_ncu,Transfers distributed by government from foreign origin,sha11.FS.2,Millions,measure
sha11_fs_3_million_ncu,Social insurance contributions,sha11.FS.3,Millions,measure
sha11_fs_4_million_ncu,"Compulsory prepayment (Other, and unspecified, than FS.3)",sha11.FS.4,Millions,measure
sha11_fs_5_million_ncu,Voluntary prepayment,sha11.FS.5,Millions,measure
sha11_fs_6_million_ncu,Other domestic revenues n.e.c.,sha11.FS.6,Millions,measure
sha11_fs_6_1_million_ncu,Other revenues from households n.e.c.,sha11.FS.6.1,Millions,measure
sha11_fs_6_2_million_ncu,Other revenues from corporations n.e.c.,sha11.FS.6.2,Millions,measure
sha11_fs_6_3_million_ncu,Other revenues from NPISH n.e.c.,sha11.FS.6.3,Millions,measure
sha11_fs_6_nec_million_ncu,Unspecified other domestic revenues (n.e.c.),sha11.FS.6.nec,Millions,measure
sha11_fs_7_million_ncu,Direct foreign transfers,sha11.FS.7,Millions,measure
sha11_fs_nec_million_ncu,Unspecified revenues of health care financing schemes (n.e.c.),sha11.FS.nec,Millions,measure
sha11_hc_million_ncu,Current health expenditure by health care functions (preliminary data),sha11.HC,Millions,measure
sha11_hc_9_million_ncu,Other health care services not elsewhere classified (n.e.c.),sha11.HC.9,Millions,measure
sha11_hc_7_million_ncu,"Governance, and health system and financing administration",sha11.HC.7,Millions,measure
sha11_hc_6_million_ncu,Preventive care,sha11.HC.6,Millions,measure
sha11_hc_5_million_ncu,Medical goods (specified by function),sha11.HC.5,Millions,measure
